Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Kamm Traverse In,Kamm Traverse Out,Chapman In,Chapman Out,Telluride In,Telluride Out,Kroger In,Kroger Out,Governor In,Governor Out,Ouray In,Ouray Out,Engineer In,Engineer Out,Grouse In,Grouse Out,Burrows In,Burrows Out,Sherman In,Sherman Out,Pole Creek In,Pole Creek Out,Maggie In,Maggie Out,Cunningham In,Cunningham Out,Finish
1,1,180,Jason,Schlarb,male,38,CO,US,00:00:00,02:17:00,02:18:00,03:42:00,03:44:00,05:39:00,05:41:00,07:17:00,07:19:00,07:44:00,07:45:00,08:45:00,08:49:00,10:54:00,10:56:00,12:10:00,12:16:00,14:45:00,14:46:00,15:22:00,15:29:00,17:52:00,17:58:00,18:56:00,19:04:00,20:40:00,20:44:00,22:58:28
2,2,1,Kilian,Jornet,male,28,,ES,00:00:00,02:17:00,02:19:00,03:43:00,03:44:00,05:39:00,05:40:00,07:10:00,07:13:00,07:39:00,07:39:00,08:35:00,08:38:00,10:44:00,10:47:00,12:06:00,12:13:00,14:45:00,14:47:00,15:22:00,15:29:00,17:52:00,17:58:00,18:56:00,19:04:00,20:40:00,20:44:00,22:58:28
3,3,190,Xavier,Thevenard,male,28,,FR,00:00:00,02:17:00,02:18:00,03:42:00,03:44:00,05:39:00,05:40:00,07:10:00,07:13:00,07:39:00,07:39:00,08:35:00,08:37:00,10:51:00,10:53:00,12:09:00,12:12:00,14:57:00,14:59:00,15:33:00,15:43:00,18:27:00,18:32:00,19:37:00,19:44:00,21:29:00,21:36:00,23:57:10
4,4,114,Jeff,Browning,male,44,OR,US,00:00:00,02:27:00,02:27:00,04:02:00,04:02:00,06:16:00,06:19:00,08:08:00,08:10:00,08:36:00,08:37:00,09:43:00,09:47:00,12:10:00,12:11:00,13:38:00,13:44:00,16:32:00,16:33:00,17:16:00,17:20:00,20:08:00,20:09:00,21:26:00,21:28:00,23:21:00,23:22:00,25:42:03
5,5,152,Ryan,Kaiser,male,37,OR,US,00:00:00,02:38:00,02:39:00,04:18:00,04:21:00,06:35:00,06:39:00,08:23:00,08:28:00,09:01:00,09:01:00,09:56:00,10:05:00,12:42:00,12:46:00,14:11:00,14:23:00,17:23:00,17:27:00,18:09:00,18:18:00,21:06:00,21:15:00,22:37:00,22:43:00,24:39:00,24:46:00,27:39:16
6,6,198,Bryan,Williams,male,41,CO,US,00:00:00,02:38:00,02:40:00,04:28:00,04:29:00,06:52:00,06:54:00,08:53:00,08:54:00,09:31:00,09:33:00,10:40:00,10:45:00,13:14:00,13:15:00,14:39:00,14:43:00,17:46:00,17:48:00,18:30:00,18:32:00,21:49:00,21:51:00,23:15:00,23:18:00,25:22:00,25:26:00,28:41:19
7,7,165,Ted,Mahon,male,43,CO,US,00:00:00,02:43:00,02:45:00,04:32:00,04:34:00,07:06:00,07:12:00,09:03:00,09:05:00,09:40:00,09:42:00,10:59:00,11:02:00,13:39:00,13:41:00,15:24:00,15:31:00,18:42:00,18:44:00,19:32:00,19:36:00,22:46:00,22:49:00,24:08:00,24:08:00,26:09:00,26:11:00,28:52:04
8,1,4,Anna,Frost,female,34,,NZ,00:00:00,02:37:00,02:37:00,04:18:00,04:19:00,06:36:00,06:38:00,08:27:00,08:30:00,09:03:00,09:04:00,10:11:00,10:16:00,13:00:00,13:02:00,14:36:00,14:36:00,18:05:00,18:11:00,19:02:00,19:09:00,22:33:00,22:37:00,24:04:00,24:08:00,26:11:00,26:13:00,29:02:09
9,2,179,Emma,Roca,female,42,,ES,00:00:00,02:44:00,02:46:00,04:31:00,04:32:00,06:57:00,06:59:00,08:58:00,08:59:00,09:31:00,09:31:00,10:41:00,10:45:00,13:31:00,13:35:00,15:08:00,15:13:00,18:45:00,18:47:00,19:43:00,19:45:00,23:07:00,23:13:00,24:45:00,24:46:00,26:49:00,26:50:00,29:36:40
10,8,132,Grant,Guise,male,36,,NZ,00:00:00,02:40:00,02:41:00,04:29:00,04:30:00,06:56:00,07:02:00,09:02:00,09:05:00,09:44:00,09:45:00,10:58:00,11:01:00,13:54:00,13:59:00,15:39:00,15:56:00,19:39:00,19:45:00,20:33:00,20:43:00,23:40:00,23:45:00,25:12:00,25:18:00,27:35:00,27:38:00,30:35:54
11,9,175,Timothy,Olson,male,32,CO,US,00:00:00,02:36:00,02:37:00,04:09:00,04:14:00,06:28:00,06:31:00,08:45:00,08:49:00,09:24:00,09:25:00,11:34:00,12:00:00,14:51:00,15:02:00,16:51:00,17:03:00,21:25:00,21:34:00,22:24:00,22:41:00,25:42:00,25:51:00,27:16:00,27:21:00,29:28:00,29:32:00,31:53:36
12,3,160,Bethany,Lewis,female,38,UT,US,00:00:00,02:42:00,02:45:00,04:35:00,04:37:00,07:08:00,07:11:00,09:12:00,09:16:00,09:53:00,09:56:00,11:11:00,11:18:00,13:59:00,14:02:00,15:43:00,15:53:00,19:17:00,19:23:00,20:14:00,20:45:00,24:04:00,24:12:00,25:35:00,26:14:00,28:32:00,28:36:00,31:56:36
13,10,147,Scott,Jaime,male,46,CO,US,00:00:00,02:39:00,02:42:00,04:29:00,04:30:00,06:54:00,07:02:00,09:07:00,09:14:00,09:52:00,09:56:00,11:19:00,11:33:00,14:53:00,15:05:00,16:53:00,17:12:00,21:06:00,21:13:00,22:14:00,22:32:00,25:40:00,25:50:00,27:13:00,27:21:00,29:13:00,29:20:00,32:13:45
14,11,5,Nick,Coury,male,28,AZ,US,00:00:00,02:57:00,02:58:00,04:55:00,04:57:00,07:25:00,07:30:00,09:38:00,09:41:00,10:13:00,10:14:00,11:34:00,11:44:00,14:51:00,15:06:00,16:47:00,16:47:00,20:37:00,20:44:00,21:48:00,22:02:00,25:33:00,25:38:00,26:58:00,27:12:00,29:35:00,29:48:00,32:45:11
15,12,6,Bryon,Powell,male,38,UT,US,00:00:00,02:37:00,02:37:00,04:28:00,04:28:00,06:58:00,07:02:00,08:54:00,08:55:00,09:29:00,09:29:00,10:40:00,10:46:00,13:28:00,13:28:00,15:03:00,15:03:00,19:21:00,20:47:00,21:40:00,21:46:00,25:31:00,25:59:00,27:14:00,27:15:00,29:39:00,29:43:00,33:01:16
16,13,184,Kevin,Shilling,male,48,UT,US,00:00:00,03:09:00,03:11:00,05:08:00,05:12:00,08:00:00,08:12:00,10:22:00,10:25:00,11:02:00,11:04:00,12:35:00,13:01:00,16:02:00,16:19:00,18:00:00,18:25:00,21:53:00,22:21:00,23:20:00,24:03:00,26:50:00,27:04:00,28:23:00,28:32:00,30:22:00,30:31:00,33:20:20
17,14,182,Matt,Schrier,male,42,UT,US,00:00:00,02:57:00,02:59:00,04:59:00,05:05:00,07:43:00,07:52:00,09:55:00,09:59:00,10:34:00,10:46:00,11:54:00,12:06:00,14:52:00,14:58:00,16:53:00,17:06:00,21:06:00,21:14:00,22:18:00,22:34:00,26:07:00,26:20:00,27:52:00,28:01:00,30:26:00,30:39:00,33:43:12
18,4,7,Darla,Askew,female,43,OR,US,00:00:00,02:57:00,02:59:00,05:05:00,05:08:00,07:43:00,07:48:00,10:03:00,10:05:00,10:53:00,10:53:00,12:09:00,12:15:00,15:28:00,15:34:00,17:34:00,17:45:00,21:48:00,21:53:00,22:58:00,23:07:00,26:48:00,26:55:00,28:23:00,28:27:00,30:48:00,30:53:00,33:51:49
19,15,172,Brian,Murray,male,43,NM,US,00:00:00,03:17:00,03:19:00,05:30:00,05:35:00,08:28:00,08:37:00,10:45:00,10:48:00,11:29:00,11:31:00,13:00:00,13:13:00,16:20:00,16:25:00,18:27:00,18:41:00,22:36:00,22:39:00,23:37:00,23:58:00,27:01:00,27:09:00,28:34:00,28:43:00,30:56:00,31:07:00,34:15:27
20,16,178,Jon,Robinson,male,37,WA,US,00:00:00,02:57:00,03:00:00,05:03:00,05:12:00,07:58:00,08:04:00,10:21:00,10:25:00,11:07:00,11:09:00,12:27:00,12:45:00,15:36:00,15:53:00,18:04:00,18:27:00,22:16:00,22:24:00,23:13:00,23:33:00,26:48:00,26:55:00,28:20:00,28:25:00,30:43:00,30:52:00,34:21:19
21,17,16,David,Pease,male,53,UT,US,00:00:00,03:05:00,03:07:00,05:17:00,05:20:00,08:15:00,08:22:00,10:40:00,10:43:00,11:28:00,11:29:00,12:55:00,13:10:00,16:04:00,16:06:00,18:10:00,18:20:00,22:26:00,22:28:00,23:19:00,23:34:00,26:54:00,26:56:00,28:27:00,28:32:00,30:54:00,31:03:00,34:22:55
22,5,24,Meghan,Hicks,female,37,UT,US,00:00:00,03:08:00,03:11:00,05:21:00,05:23:00,08:17:00,08:22:00,10:35:00,10:36:00,11:18:00,11:20:00,12:49:00,12:58:00,16:05:00,16:10:00,18:14:00,18:24:00,22:24:00,22:26:00,23:23:00,23:41:00,26:59:00,27:03:00,28:33:00,28:38:00,31:00:00,31:05:00,34:25:25
23,18,144,Matt,Horsley,male,38,UT,US,00:00:00,03:00:00,03:03:00,05:05:00,05:10:00,07:54:00,08:00:00,10:31:00,10:36:00,11:22:00,11:26:00,12:57:00,13:39:00,16:59:00,17:07:00,19:06:00,19:28:00,23:32:00,23:36:00,24:29:00,24:49:00,27:57:00,28:01:00,29:41:00,29:46:00,31:54:00,32:03:00,35:21:15
24,19,145,Jay,Hunt,male,36,CO,US,00:00:00,03:07:00,03:10:00,05:31:00,05:36:00,09:05:00,09:58:00,12:14:00,12:19:00,13:06:00,13:09:00,14:36:00,15:01:00,17:53:00,18:02:00,19:50:00,20:10:00,23:56:00,24:03:00,24:44:00,25:04:00,28:01:00,28:17:00,29:45:00,29:53:00,32:05:00,32:18:00,35:33:36
25,20,189,Patrick,Stewart,male,30,CO,US,00:00:00,02:37:00,02:38:00,04:29:00,04:31:00,06:56:00,07:01:00,09:00:00,09:02:00,09:36:00,09:38:00,10:45:00,10:50:00,14:03:00,14:08:00,15:59:00,16:10:00,20:56:00,21:07:00,22:32:00,22:50:00,26:55:00,27:07:00,28:56:00,29:05:00,32:14:00,32:21:00,35:54:24
26,21,17,Drew,Gunn,male,42,CO,US,00:00:00,03:21:00,03:23:00,05:31:00,05:37:00,08:28:00,08:35:00,11:26:00,11:30:00,12:12:00,12:15:00,13:46:00,14:04:00,17:12:00,17:23:00,19:25:00,19:51:00,24:09:00,24:12:00,25:06:00,25:20:00,28:55:00,29:03:00,30:27:00,30:31:00,32:43:00,32:48:00,36:05:29
27,22,118,Bill,Clements,male,37,CA,US,00:00:00,03:09:00,03:11:00,05:23:00,05:29:00,08:16:00,08:25:00,10:51:00,10:56:00,11:45:00,11:46:00,13:05:00,13:16:00,16:32:00,16:40:00,19:30:00,19:55:00,24:03:00,24:07:00,25:00:00,25:08:00,28:20:00,28:23:00,30:03:00,30:12:00,32:51:00,32:58:00,36:16:28
28,23,10,David,Coblentz,male,53,NM,US,00:00:00,03:09:00,03:12:00,05:18:00,05:23:00,08:16:00,08:24:00,10:51:00,10:54:00,11:34:00,11:35:00,12:57:00,13:10:00,16:26:00,16:33:00,18:49:00,19:04:00,23:41:00,23:47:00,24:46:00,24:57:00,28:29:00,28:34:00,30:10:00,30:19:00,32:57:00,33:06:00,36:33:51
29,24,171,Philip,Murphy,male,47,,AU,00:00:00,03:09:00,03:11:00,05:24:00,05:26:00,08:33:00,08:39:00,11:24:00,11:27:00,12:11:00,12:12:00,13:39:00,13:53:00,17:07:00,17:14:00,19:20:00,19:26:00,23:50:00,23:53:00,25:19:00,25:23:00,28:56:00,29:02:00,30:25:00,30:30:00,32:55:00,32:59:00,36:35:50
30,25,119,Josh,Dickson,male,32,TX,US,00:00:00,03:17:00,03:18:00,05:35:00,05:41:00,08:32:00,08:45:00,11:16:00,11:22:00,12:10:00,12:13:00,13:29:00,13:47:00,17:09:00,17:14:00,19:16:00,19:36:00,24:01:00,24:04:00,24:57:00,25:12:00,28:39:00,28:43:00,30:24:00,30:34:00,33:08:00,33:19:00,36:36:42
31,26,162,Jason,Lippman,male,44,TX,US,00:00:00,03:16:00,03:17:00,05:36:00,05:39:00,08:49:00,09:01:00,11:58:00,12:03:00,12:48:00,12:49:00,14:02:00,14:17:00,17:45:00,17:53:00,19:50:00,19:58:00,24:33:00,24:41:00,25:42:00,25:53:00,29:42:00,29:46:00,31:16:00,31:18:00,33:44:00,33:53:00,37:22:43
32,27,187,William,Smith,male,32,CA,US,00:00:00,02:58:00,03:00:00,05:00:00,05:07:00,07:52:00,08:03:00,10:24:00,10:27:00,11:07:00,11:09:00,12:44:00,13:14:00,16:44:00,16:50:00,19:11:00,19:32:00,24:43:00,24:56:00,26:03:00,26:20:00,29:41:00,29:46:00,31:05:00,31:19:00,34:08:00,34:29:00,37:30:49
33,28,18,Todd,Salzer,male,42,CO,US,00:00:00,03:08:00,03:11:00,05:21:00,05:25:00,08:34:00,08:44:00,11:12:00,11:15:00,11:57:00,11:59:00,13:22:00,13:42:00,17:12:00,17:16:00,19:48:00,20:15:00,24:27:00,24:38:00,25:33:00,25:47:00,29:17:00,29:31:00,30:53:00,31:11:00,33:30:00,33:47:00,37:34:48
34,29,116,Ryan,Burch,male,36,CO,US,00:00:00,02:55:00,02:58:00,04:46:00,04:48:00,07:11:00,07:14:00,09:09:00,09:11:00,09:49:00,09:53:00,11:17:00,11:18:00,14:27:00,14:45:00,17:16:00,18:21:00,23:11:00,23:33:00,24:42:00,24:58:00,28:31:00,28:37:00,30:20:00,30:36:00,33:18:00,33:32:00,37:39:19
35,30,133,Allen,Hadley,male,59,CO,US,00:00:00,02:59:00,03:01:00,05:05:00,05:09:00,07:59:00,08:07:00,10:10:00,10:14:00,10:56:00,11:00:00,12:35:00,12:47:00,16:01:00,16:09:00,18:28:00,18:47:00,23:20:00,23:26:00,24:35:00,24:59:00,29:01:00,29:06:00,30:42:00,30:53:00,33:41:00,33:54:00,37:41:46
36,31,12,Mark,Christopherson,male,48,UT,US,00:00:00,02:57:00,02:59:00,05:05:00,05:10:00,08:13:00,08:26:00,11:06:00,11:12:00,12:08:00,12:12:00,13:54:00,14:13:00,17:34:00,17:45:00,19:59:00,20:17:00,24:30:00,24:31:00,25:38:00,25:50:00,29:39:00,29:45:00,31:07:00,31:16:00,33:48:00,33:55:00,37:45:57
37,32,21,Doug,Newton,male,39,CO,US,00:00:00,03:10:00,03:12:00,05:29:00,05:32:00,08:44:00,08:55:00,11:21:00,11:27:00,12:14:00,12:19:00,13:53:00,14:08:00,17:30:00,17:43:00,19:58:00,20:20:00,24:46:00,24:50:00,25:45:00,26:05:00,29:43:00,29:46:00,31:25:00,31:33:00,34:13:00,34:25:00,38:15:21
38,6,29,Betsy,Nye,female,51,CA,US,00:00:00,03:19:00,03:22:00,05:37:00,05:42:00,08:44:00,08:55:00,11:13:00,11:17:00,12:00:00,12:03:00,13:30:00,13:43:00,17:05:00,17:05:00,19:12:00,19:38:00,24:21:00,24:30:00,25:31:00,25:54:00,29:44:00,29:46:00,31:33:00,31:37:00,34:21:00,34:32:00,38:23:25
39,33,30,Julian,Smith,male,50,CO,US,00:00:00,03:16:00,03:18:00,05:32:00,05:34:00,08:38:00,08:46:00,11:17:00,11:21:00,12:14:00,12:19:00,13:49:00,14:06:00,17:16:00,17:30:00,19:45:00,20:08:00,24:43:00,24:54:00,25:54:00,26:19:00,29:45:00,29:50:00,31:30:00,31:37:00,34:22:00,34:29:00,38:25:56
40,34,26,Jason,Oliver,male,34,CO,US,00:00:00,03:13:00,03:14:00,05:19:00,05:24:00,08:16:00,08:27:00,10:54:00,10:59:00,11:42:00,11:46:00,13:19:00,13:46:00,17:29:00,17:40:00,20:00:00,20:27:00,24:46:00,24:57:00,25:49:00,26:19:00,30:30:00,30:44:00,32:14:00,32:25:00,34:40:00,34:48:00,38:27:11
41,35,202,Blake,Wood,male,57,NM,US,00:00:00,03:17:00,03:18:00,05:37:00,05:41:00,08:50:00,08:59:00,11:14:00,11:17:00,12:00:00,12:05:00,13:35:00,13:51:00,16:56:00,17:06:00,19:19:00,19:32:00,24:11:00,24:21:00,25:24:00,26:15:00,29:44:00,29:47:00,31:28:00,31:33:00,34:06:00,34:18:00,38:30:06
42,36,13,Michael,Evans,male,44,WY,US,00:00:00,03:06:00,03:06:00,05:21:00,05:25:00,09:14:00,09:26:00,12:00:00,12:04:00,12:50:00,12:53:00,14:30:00,14:53:00,18:45:00,19:00:00,21:29:00,21:56:00,26:37:00,26:43:00,27:41:00,27:54:00,31:14:00,31:18:00,32:42:00,32:44:00,35:11:00,35:22:00,38:41:28
43,37,28,Scott,Mills,male,65,CA,US,00:00:00,03:22:00,03:26:00,05:41:00,05:45:00,08:49:00,08:59:00,11:16:00,11:19:00,12:10:00,12:13:00,13:39:00,13:49:00,16:59:00,17:05:00,19:28:00,19:49:00,24:30:00,24:32:00,25:28:00,25:43:00,29:41:00,29:45:00,31:17:00,31:26:00,34:19:00,34:27:00,38:42:28
44,38,103,Woody,Anderson,male,41,CO,US,00:00:00,03:15:00,03:17:00,05:28:00,05:35:00,08:28:00,08:42:00,11:05:00,11:09:00,11:51:00,11:55:00,13:21:00,13:36:00,16:54:00,17:05:00,19:19:00,19:43:00,24:48:00,24:54:00,25:52:00,26:27:00,30:14:00,30:28:00,32:14:00,32:29:00,35:14:00,35:28:00,39:10:12
45,39,168,Graham,Melvin,male,35,WA,US,00:00:00,03:00:00,03:04:00,05:07:00,05:19:00,08:41:00,09:10:00,11:42:00,11:48:00,12:41:00,12:45:00,14:30:00,14:59:00,18:12:00,18:25:00,21:00:00,21:39:00,26:22:00,26:39:00,27:30:00,27:50:00,31:13:00,31:18:00,32:42:00,32:44:00,35:21:00,35:31:00,39:19:12
46,40,121,Randy,Duncan,male,54,,US,00:00:00,03:34:00,03:38:00,06:11:00,06:16:00,09:41:00,09:44:00,12:18:00,12:20:00,13:14:00,13:17:00,14:54:00,15:10:00,18:30:00,18:35:00,21:04:00,21:16:00,25:44:00,25:48:00,26:51:00,27:13:00,31:02:00,31:08:00,32:46:00,32:53:00,35:40:00,35:46:00,39:22:31
47,41,112,Scott,Brockmeier,male,54,FL,US,00:00:00,03:28:00,03:31:00,05:54:00,06:04:00,09:25:00,09:38:00,12:10:00,12:16:00,13:06:00,13:07:00,14:36:00,14:50:00,18:45:00,19:03:00,21:29:00,22:06:00,26:30:00,26:39:00,27:35:00,28:07:00,31:52:00,31:59:00,33:37:00,33:44:00,36:07:00,36:16:00,39:28:25
